Source	Sample	Age.myr	pH2.5	pH16.7	pH25	pH50	pH75	pH83.3	pH97.5
Chalk17	6.60E+01	1.10E+00	8.06E+00	8.09E+00	8.08E+00	8.10E+00	8.12E+00	8.12E+00	8.14E+00
Chalk17	6.70E+01	1.10E+00	8.08E+00	8.10E+00	8.10E+00	8.12E+00	8.14E+00	8.14E+00	8.16E+00
Chalk17	6.80E+01	1.11E+00	8.13E+00	8.16E+00	8.15E+00	8.17E+00	8.19E+00	8.18E+00	8.21E+00
Chalk17	6.90E+01	1.11E+00	8.11E+00	8.14E+00	8.13E+00	8.15E+00	8.17E+00	8.16E+00	8.19E+00
Chalk17	7.00E+01	1.11E+00	8.08E+00	8.11E+00	8.10E+00	8.12E+00	8.14E+00	8.14E+00	8.16E+00
Chalk17	7.10E+01	1.11E+00	8.13E+00	8.16E+00	8.15E+00	8.17E+00	8.19E+00	8.19E+00	8.21E+00
Chalk17	7.20E+01	1.12E+00	8.16E+00	8.19E+00	8.18E+00	8.20E+00	8.22E+00	8.21E+00	8.24E+00
Chalk17	7.30E+01	1.12E+00	8.18E+00	8.21E+00	8.20E+00	8.22E+00	8.23E+00	8.23E+00	8.25E+00
Chalk17	7.40E+01	1.12E+00	8.13E+00	8.16E+00	8.15E+00	8.17E+00	8.19E+00	8.18E+00	8.21E+00
Chalk17	7.50E+01	1.12E+00	8.20E+00	8.22E+00	8.22E+00	8.23E+00	8.25E+00	8.25E+00	8.27E+00
Chalk17	7.60E+01	1.13E+00	8.13E+00	8.16E+00	8.15E+00	8.17E+00	8.19E+00	8.19E+00	8.21E+00
Chalk17	7.70E+01	1.13E+00	8.13E+00	8.16E+00	8.15E+00	8.17E+00	8.19E+00	8.19E+00	8.21E+00
Chalk17	7.80E+01	1.13E+00	8.13E+00	8.15E+00	8.15E+00	8.17E+00	8.19E+00	8.18E+00	8.21E+00
Chalk17	7.90E+01	1.14E+00	8.07E+00	8.10E+00	8.09E+00	8.11E+00	8.13E+00	8.13E+00	8.15E+00
Chalk17	8.00E+01	1.14E+00	8.06E+00	8.08E+00	8.08E+00	8.10E+00	8.12E+00	8.11E+00	8.14E+00
Chalk17	8.10E+01	1.14E+00	8.09E+00	8.11E+00	8.11E+00	8.13E+00	8.15E+00	8.14E+00	8.17E+00
Chalk17	8.20E+01	1.15E+00	8.06E+00	8.09E+00	8.09E+00	8.11E+00	8.13E+00	8.12E+00	8.15E+00
Chalk17	8.30E+01	1.15E+00	8.04E+00	8.07E+00	8.07E+00	8.09E+00	8.12E+00	8.11E+00	8.14E+00
Chalk17	8.40E+01	1.15E+00	8.11E+00	8.14E+00	8.13E+00	8.15E+00	8.17E+00	8.17E+00	8.19E+00
Chalk17	8.50E+01	1.15E+00	8.13E+00	8.15E+00	8.15E+00	8.17E+00	8.19E+00	8.18E+00	8.21E+00
Chalk17	8.60E+01	1.16E+00	8.06E+00	8.09E+00	8.08E+00	8.10E+00	8.12E+00	8.12E+00	8.15E+00
Chalk17	8.70E+01	1.16E+00	8.05E+00	8.08E+00	8.07E+00	8.09E+00	8.11E+00	8.11E+00	8.14E+00
Chalk17	8.80E+01	1.16E+00	8.09E+00	8.12E+00	8.11E+00	8.13E+00	8.15E+00	8.15E+00	8.17E+00
Honisch09	3.30E+01	1.17E+00	8.05E+00	8.08E+00	8.07E+00	8.10E+00	8.12E+00	8.11E+00	8.14E+00
Chalk17	8.90E+01	1.17E+00	8.08E+00	8.11E+00	8.10E+00	8.12E+00	8.14E+00	8.14E+00	8.16E+00
Chalk17	9.00E+01	1.18E+00	8.09E+00	8.12E+00	8.12E+00	8.14E+00	8.16E+00	8.15E+00	8.18E+00
Chalk17	9.10E+01	1.18E+00	8.11E+00	8.14E+00	8.13E+00	8.15E+00	8.17E+00	8.16E+00	8.19E+00
Chalk17	9.20E+01	1.18E+00	8.15E+00	8.18E+00	8.17E+00	8.19E+00	8.21E+00	8.20E+00	8.23E+00
Chalk17	9.30E+01	1.18E+00	8.16E+00	8.19E+00	8.18E+00	8.20E+00	8.22E+00	8.21E+00	8.24E+00
Chalk17	9.40E+01	1.19E+00	8.12E+00	8.14E+00	8.14E+00	8.16E+00	8.18E+00	8.17E+00	8.20E+00
Chalk17	9.50E+01	1.19E+00	8.11E+00	8.13E+00	8.13E+00	8.15E+00	8.17E+00	8.16E+00	8.19E+00
Chalk17	9.60E+01	1.19E+00	8.18E+00	8.20E+00	8.20E+00	8.22E+00	8.23E+00	8.23E+00	8.25E+00
Honisch09	3.40E+01	1.19E+00	8.13E+00	8.16E+00	8.15E+00	8.17E+00	8.19E+00	8.19E+00	8.21E+00
Chalk17	9.70E+01	1.20E+00	8.19E+00	8.21E+00	8.21E+00	8.23E+00	8.25E+00	8.24E+00	8.27E+00
Chalk17	9.80E+01	1.20E+00	8.21E+00	8.24E+00	8.23E+00	8.25E+00	8.27E+00	8.26E+00	8.28E+00
Chalk17	9.90E+01	1.21E+00	8.17E+00	8.20E+00	8.19E+00	8.21E+00	8.23E+00	8.22E+00	8.25E+00
Chalk17	1.00E+02	1.21E+00	8.14E+00	8.17E+00	8.16E+00	8.18E+00	8.20E+00	8.20E+00	8.22E+00
Honisch09	3.50E+01	1.21E+00	8.11E+00	8.14E+00	8.13E+00	8.15E+00	8.17E+00	8.17E+00	8.19E+00
Chalk17	1.01E+02	1.21E+00	8.08E+00	8.10E+00	8.10E+00	8.12E+00	8.14E+00	8.13E+00	8.16E+00
Chalk17	1.02E+02	1.22E+00	8.10E+00	8.12E+00	8.12E+00	8.14E+00	8.16E+00	8.15E+00	8.18E+00
Chalk17	1.03E+02	1.22E+00	8.06E+00	8.09E+00	8.08E+00	8.10E+00	8.13E+00	8.12E+00	8.15E+00
Chalk17	1.04E+02	1.22E+00	8.12E+00	8.15E+00	8.14E+00	8.16E+00	8.18E+00	8.17E+00	8.20E+00
Chalk17	1.05E+02	1.23E+00	8.09E+00	8.12E+00	8.12E+00	8.14E+00	8.16E+00	8.15E+00	8.18E+00
Chalk17	1.06E+02	1.23E+00	8.04E+00	8.07E+00	8.07E+00	8.09E+00	8.11E+00	8.10E+00	8.13E+00
Honisch09	3.60E+01	1.23E+00	8.08E+00	8.10E+00	8.10E+00	8.12E+00	8.14E+00	8.13E+00	8.16E+00
Chalk17	1.07E+02	1.23E+00	8.07E+00	8.09E+00	8.09E+00	8.11E+00	8.13E+00	8.12E+00	8.15E+00
Chalk17	1.08E+02	1.24E+00	8.11E+00	8.14E+00	8.13E+00	8.15E+00	8.17E+00	8.16E+00	8.19E+00
Honisch09	3.70E+01	1.24E+00	8.04E+00	8.07E+00	8.07E+00	8.09E+00	8.11E+00	8.10E+00	8.13E+00
Chalk17	1.09E+02	1.24E+00	8.10E+00	8.13E+00	8.12E+00	8.14E+00	8.16E+00	8.16E+00	8.18E+00
Chalk17	1.10E+02	1.24E+00	8.07E+00	8.10E+00	8.09E+00	8.11E+00	8.13E+00	8.13E+00	8.15E+00
Honisch09	3.80E+01	1.25E+00	8.15E+00	8.18E+00	8.17E+00	8.19E+00	8.21E+00	8.20E+00	8.23E+00
Honisch09	3.90E+01	1.26E+00	8.09E+00	8.12E+00	8.11E+00	8.13E+00	8.15E+00	8.15E+00	8.17E+00
Honisch09	4.00E+01	1.35E+00	8.03E+00	8.06E+00	8.05E+00	8.07E+00	8.09E+00	8.09E+00	8.12E+00
Honisch09	4.10E+01	1.41E+00	8.12E+00	8.15E+00	8.14E+00	8.16E+00	8.18E+00	8.18E+00	8.21E+00
Seki10	5.80E+01	1.43E+00	8.18E+00	8.20E+00	8.19E+00	8.21E+00	8.23E+00	8.23E+00	8.25E+00
Honisch09	4.20E+01	1.50E+00	8.06E+00	8.09E+00	8.09E+00	8.11E+00	8.13E+00	8.13E+00	8.15E+00
Sosdian18	2.90E+01	1.53E+00	8.19E+00	8.22E+00	8.22E+00	8.24E+00	8.26E+00	8.26E+00	8.29E+00
Honisch09	4.30E+01	1.58E+00	8.12E+00	8.15E+00	8.14E+00	8.16E+00	8.18E+00	8.18E+00	8.20E+00
Honisch09	4.40E+01	1.65E+00	8.12E+00	8.15E+00	8.14E+00	8.16E+00	8.18E+00	8.18E+00	8.21E+00
Honisch09	4.50E+01	1.67E+00	8.22E+00	8.25E+00	8.24E+00	8.26E+00	8.28E+00	8.28E+00	8.30E+00
Honisch09	4.60E+01	1.67E+00	8.13E+00	8.16E+00	8.15E+00	8.18E+00	8.20E+00	8.19E+00	8.22E+00
Honisch09	4.70E+01	1.85E+00	8.16E+00	8.19E+00	8.18E+00	8.20E+00	8.22E+00	8.22E+00	8.25E+00
Honisch09	4.80E+01	1.86E+00	8.24E+00	8.26E+00	8.26E+00	8.28E+00	8.30E+00	8.29E+00	8.32E+00
Sosdian18	3.00E+01	1.88E+00	8.21E+00	8.24E+00	8.24E+00	8.26E+00	8.28E+00	8.27E+00	8.30E+00
Honisch09	4.90E+01	1.93E+00	8.12E+00	8.15E+00	8.14E+00	8.16E+00	8.19E+00	8.18E+00	8.21E+00
Honisch09	5.00E+01	1.95E+00	8.27E+00	8.29E+00	8.29E+00	8.31E+00	8.33E+00	8.32E+00	8.35E+00
Honisch09	5.10E+01	1.95E+00	8.26E+00	8.28E+00	8.28E+00	8.30E+00	8.32E+00	8.31E+00	8.34E+00
Honisch09	5.20E+01	1.96E+00	8.27E+00	8.30E+00	8.29E+00	8.31E+00	8.33E+00	8.32E+00	8.35E+00
Bartoli11	1.00E+00	1.98E+00	8.10E+00	8.14E+00	8.13E+00	8.15E+00	8.18E+00	8.17E+00	8.20E+00
Honisch09	5.30E+01	1.98E+00	8.14E+00	8.17E+00	8.17E+00	8.19E+00	8.21E+00	8.20E+00	8.23E+00
Seki10	5.90E+01	2.02E+00	7.98E+00	8.01E+00	8.01E+00	8.03E+00	8.05E+00	8.04E+00	8.07E+00
Honisch09	5.40E+01	2.02E+00	8.15E+00	8.17E+00	8.17E+00	8.19E+00	8.21E+00	8.20E+00	8.23E+00
Bartoli11	2.00E+00	2.03E+00	8.06E+00	8.09E+00	8.09E+00	8.11E+00	8.13E+00	8.13E+00	8.16E+00
Honisch09	5.50E+01	2.04E+00	8.23E+00	8.25E+00	8.25E+00	8.27E+00	8.29E+00	8.28E+00	8.31E+00
Honisch09	5.60E+01	2.05E+00	8.22E+00	8.24E+00	8.24E+00	8.26E+00	8.28E+00	8.27E+00	8.30E+00
Bartoli11	3.00E+00	2.08E+00	8.09E+00	8.12E+00	8.12E+00	8.14E+00	8.16E+00	8.16E+00	8.19E+00
Bartoli11	4.00E+00	2.16E+00	8.11E+00	8.14E+00	8.13E+00	8.16E+00	8.18E+00	8.17E+00	8.20E+00
Bartoli11	5.00E+00	2.17E+00	7.97E+00	8.01E+00	8.00E+00	8.03E+00	8.05E+00	8.04E+00	8.08E+00
Bartoli11	6.00E+00	2.20E+00	8.16E+00	8.19E+00	8.19E+00	8.21E+00	8.23E+00	8.22E+00	8.25E+00
Bartoli11	7.00E+00	2.20E+00	8.02E+00	8.05E+00	8.04E+00	8.07E+00	8.09E+00	8.09E+00	8.12E+00
Bartoli11	8.00E+00	2.20E+00	7.96E+00	8.00E+00	7.99E+00	8.02E+00	8.04E+00	8.03E+00	8.07E+00
Sosdian18	3.10E+01	2.21E+00	8.11E+00	8.14E+00	8.13E+00	8.15E+00	8.18E+00	8.17E+00	8.20E+00
Bartoli11	9.00E+00	2.30E+00	8.11E+00	8.14E+00	8.13E+00	8.16E+00	8.18E+00	8.17E+00	8.20E+00
Martinez-Boti15	1.00E+00	2.34E+00	8.07E+00	8.10E+00	8.09E+00	8.11E+00	8.13E+00	8.13E+00	8.16E+00
Martinez-Boti15	2.00E+00	2.35E+00	8.06E+00	8.10E+00	8.09E+00	8.11E+00	8.14E+00	8.13E+00	8.16E+00
Martinez-Boti15	3.00E+00	2.35E+00	8.08E+00	8.11E+00	8.10E+00	8.12E+00	8.14E+00	8.14E+00	8.16E+00
Martinez-Boti15	4.00E+00	2.36E+00	7.94E+00	7.98E+00	7.97E+00	8.00E+00	8.02E+00	8.02E+00	8.05E+00
Martinez-Boti15	5.00E+00	2.37E+00	7.98E+00	8.01E+00	8.00E+00	8.03E+00	8.05E+00	8.04E+00	8.07E+00
Martinez-Boti15	6.00E+00	2.38E+00	8.01E+00	8.05E+00	8.04E+00	8.06E+00	8.08E+00	8.08E+00	8.11E+00
